,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
243,CHI,DET,14.0,2,3.0,0.0,0.0,0.0,5.0,2.0,46.0,70.0,8.0,5.0,5.0,0.0,5.0,0.0,4.0,5.0,0.0,45.0
244,NYG,PHI,26.0,12,1.0,2.0,1.0,0.0,5.0,6.0,62.0,84.0,3.0,8.0,4.0,3.0,7.0,0.0,3.0,6.0,3.0,54.0
245,DAL,WAS,20.0,9,2.0,3.0,1.0,1.0,7.0,3.0,52.0,79.0,5.0,7.0,7.0,0.0,7.0,0.0,2.0,9.0,4.0,52.0
246,IND,TEN,27.0,11,2.0,0.0,1.0,0.0,12.0,2.0,59.0,70.0,5.0,6.0,3.0,2.0,5.0,0.0,4.0,11.0,1.0,36.0
247,CIN,BAL,34.0,2,2.0,1.0,0.0,0.0,15.0,4.0,48.0,87.0,4.0,4.0,3.0,1.0,4.0,0.0,4.0,11.0,1.0,47.0
248,CLE,PIT,30.0,4,4.0,4.0,0.0,0.0,17.0,4.0,42.0,90.0,7.0,3.0,3.0,0.0,2.0,1.0,7.0,6.0,4.0,48.0
249,HOU,JAC,28.0,5,3.0,4.0,0.0,0.0,16.0,4.0,45.0,83.0,10.0,3.0,1.0,1.0,2.0,0.0,6.0,9.0,4.0,42.0
250,KC,OAK,19.0,2,3.0,2.0,0.0,1.0,12.0,7.0,55.0,65.0,7.0,5.0,3.0,1.0,4.0,0.0,1.0,12.0,2.0,36.0
251,DEN,LAC,23.0,11,3.0,4.0,2.0,0.0,13.0,6.0,61.0,71.0,5.0,5.0,3.0,2.0,5.0,0.0,4.0,10.0,6.0,40.0
252,CAR,TB,21.0,8,2.0,3.0,0.0,0.0,11.0,5.0,54.0,79.0,6.0,6.0,2.0,4.0,6.0,0.0,2.0,6.0,3.0,50.0
253,ARI,SEA,30.0,9,3.0,0.0,0.0,0.0,12.0,4.0,50.0,78.0,3.0,5.0,4.0,1.0,5.0,0.0,5.0,8.0,0.0,42.0
254,SF,LA,31.0,7,1.0,1.0,2.0,0.0,18.0,13.0,66.0,83.0,1.0,2.0,1.0,1.0,2.0,0.0,9.0,10.0,3.0,50.0
255,GB,MIN,23.0,7,2.0,2.0,2.0,0.0,12.0,6.0,53.0,71.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,9.0,4.0,38.0
